species	temp	injury_level	recov	replicate	Acq..Date.Time	TRT	Lactic_acid	Alanine	Valine	Leucine	Phosphoric_acid	Glycerol	Isoleucine	Proline	Glycine	Succinic_acid	Fumaric_acid	Pipecolic_acid	Serine	Threonine	Malic_acid	Methionine	Aspartate	GABA	Glutamate	Phenylalanine	Asparagine	Putrescine	Ornithine	Citric_acid	Fructose	Glucose	Lysine	Tyrosine	Mannitol	Inositol	Sucrose	Trehalose
SA	34	1/2	D	5	26/10/2022 19:24	1/2 D	0.916309157	2.523237421	2.116212261	0.388462579	7.801744253	0.513299132	0.811663238	2.373072352	0.840352836	0.434046357	0.406818537	0.303284581	0.745888452	0.917060632	1.702193828	0.397325462	0.71546854	1.151678006	3.233161043	0.469524576	1.643837945	0.023595742	0.463777767	0.705446557	1.887934612	20.35321612	3.012481862	3.523558695	32.79545892	0.718484009	0.437411098	19.59030185
SA	34	1/2	D	6	17/11/2022 12:14	1/2 D	0.429211859	3.294717749	2.743481962	0.499736438	15.10857962	0.198798628	1.058363699	2.93830546	1.824563922	0.318491486	0.301606719	0.398580005	1.439810053	1.238931723	1.771257782	0.395246671	0.874079351	2.241378733	7.582617248	0.376674484	3.869329791	0.037164107	0.319490327	0.855715623	3.131801347	38.88697931	6.95913874	12.87799149	59.44632169	0.884098147	0.11419561	27.25990785
SA	34	1/2	D	7	18/11/2022 22:18	1/2 D	0.447561778	3.503603308	2.273853799	0.454099276	15.41577469	0.2720792	0.925884552	2.42803947	1.236757101	0.300674876	0.412583101	0.430269899	1.340915781	1.100048571	1.882979611	0.394232684	0.973695352	1.879349115	6.982079707	0.339879352	2.998315167	0.058828979	0.252423438	1.333162942	2.452048254	31.88118463	4.935645975	8.848692644	50.92673549	0.865077941	0.188891145	28.83692675
SA	34	1/2	D	8	26/11/2022 02:16	1/2 D	0.523356506	2.991683727	2.293040372	0.317497508	15.929216	0.525312587	1.073324624	3.089502986	1.105146781	0.396934601	0.487832453	0.227427405	1.202443655	1.084703595	1.985032846	0.428022933	1.055173715	1.71258037	6.783424548	0.446669128	3.691424804	0.058828979	0.215350842	1.114804211	2.394236615	42.89131893	6.351538805	16.70933644	59.0988949	0.355404435	0.260217705	27.39215873
SA	34	1/2	R	1	12/10/2022 12:17	1/2 R	0.384918667	4.128049325	5.83099237	1.628914182	13.98835156	0.309596845	3.4088152	5.930286514	1.116873883	0.46758892	0.378384036	0.229875673	2.778301711	4.623900914	1.517580299	0.878623696	1.87317955	1.889407189	7.113696662	2.206411625	14.90035365	0.143716673	0.421768477	1.282554314	1.416055222	14.93013963	2.375144261	8.16203076	3.389181136	0.59507021	0.273264321	31.2698468
SA	34	1/2	R	2	14/10/2022 05:05	1/2 R	0.427628751	2.696871289	2.381309748	0.637055597	14.37861895	0.287974921	1.360009104	4.508688458	0.579464836	0.536385442	0.366068378	0.230269363	1.08809304	1.270982705	1.363244925	0.506945326	1.223490623	1.357336416	5.673073575	1.078243034	10.17398575	0.023479075	0.46596272	1.048414894	0.464837881	14.82488005	2.283962131	4.181399348	1.383984712	0.525004052	0.270841386	30.00903604
SA	34	1/2	R	3	20/10/2022 11:48	1/2 R	0.467884971	3.297214818	5.114335455	1.084029473	13.44384586	0.56135974	2.612868747	5.487296969	1.092184966	0.644361743	0.706640491	0.327531092	2.631983375	3.463746059	1.191480967	0.790552198	1.420835496	1.796398105	6.170771631	1.942317357	15.08391255	0.145282375	0.755801851	0.93058047	0.926087916	16.92862214	2.656542564	6.434984972	3.757393942	0.589808358	0.395831378	38.45134133
SA	34	1/2	R	4	25/10/2022 09:19	1/2 R	0.631500427	3.347742593	5.621673466	1.436425422	12.19791201	0.403379206	2.719829767	7.567593425	1.343023419	0.492747979	0.304102826	0.264520331	2.146778683	4.793611154	1.194881876	0.725540488	1.310125054	1.350868959	6.102692022	1.620002235	17.80876925	0.186945658	0.526549826	0.824231408	0.937053642	11.76235777	2.181644377	7.976284863	2.664624126	0.495436773	0.289686856	32.41921201
SA	34	1/2	R	6	26/10/2022 20:14	1/2 R	0.320727765	2.8170726	5.021171206	0.958070257	9.181158326	0.37748738	2.60983898	4.052572304	0.845328281	0.333583058	0.273426877	0.261150956	1.818894062	3.570219862	0.844219044	0.658922947	0.930741974	1.34393282	4.649138907	1.682469928	15.93725406	0.210664101	0.553726966	0.530681714	1.470735956	8.572291467	1.782955848	4.677835681	2.022504537	0.653299707	0.33307578	30.53423631
SA	34	1/2	R	7	17/11/2022 13:04	1/2 R	0.475154731	2.603449076	3.666973392	0.652011022	18.15996451	0.387959618	1.687937619	4.691797749	1.630418759	0.378791925	0.223507169	0.337106185	1.897256523	2.367532447	0.996503122	0.583844945	1.296974564	2.530384808	8.931336287	1.096667734	19.47933054	0.164432476	0.364471076	0.715837893	1.030027566	19.04280479	4.681717961	13.70894349	6.909559927	0.732255672	0.069594967	37.1609265
