"","species","temp","injurylevel","recov","replicate","Acq..Date.Time","TRT","metabolites","conc","fold_change","log_foldchange","group"
"64","MD",34,"F","D",2,"2022/10/13 22:26","F D","Lactic_acid",0.407400531,0.161478713221031,-2.63058409934616,"Organic acids"
"65","MD",34,"F","D",3,"2022/10/20 05:10","F D","Lactic_acid",3.011379714,1.19360109826817,0.255320768173379,"Organic acids"
"66","MD",34,"F","D",4,"2022/10/21 16:04","F D","Lactic_acid",1.198225191,0.474932768292597,-1.07420479558242,"Organic acids"
"67","MD",34,"F","D",5,"2022/10/26 13:35","F D","Lactic_acid",2.299537824,0.911452932845121,-0.133759937036734,"Organic acids"
"68","MD",34,"F","D",6,"2022/10/28 00:29","F D","Lactic_acid",1.833758877,0.726835144492246,-0.460299915327925,"Organic acids"
"69","MD",34,"F","D",7,"2022/11/18 16:29","F D","Lactic_acid",3.765262931,1.49241291253184,0.577646747688303,"Organic acids"
"70","MD",34,"F","D",8,"2022/11/26 23:02","F D","Lactic_acid",1.118554946,0.443354388625232,-1.1734677385047,"Organic acids"
"71","MD",34,"F","R",1,"2022/10/12 06:28","F R","Lactic_acid",0.840181976,0.333017495148977,-1.58633012329155,"Organic acids"
"72","MD",34,"F","R",2,"2022/10/13 23:16","F R","Lactic_acid",0.424652354,0.168316706710924,-2.57074971267718,"Organic acids"
"73","MD",34,"F","R",3,"2022/10/20 05:59","F R","Lactic_acid",2.094937986,0.830357018501624,-0.268196327009741,"Organic acids"
"74","MD",34,"F","R",4,"2022/10/21 16:53","F R","Lactic_acid",0.379248628,0.1503203255282,-2.73388799876575,"Organic acids"
"75","MD",34,"F","R",5,"2022/10/26 14:25","F R","Lactic_acid",0.513402992,0.203494223015599,-2.29694025639117,"Organic acids"
"76","MD",34,"F","R",6,"2022/11/26 12:13","F R","Lactic_acid",0.661131142,0.262048274258412,-1.93209548687329,"Organic acids"
"77","MD",34,"F","R",7,"2022/11/18 17:19","F R","Lactic_acid",1.030225432,0.408343790516416,-1.29214380537168,"Organic acids"
"78","MD",34,"F","R",8,"2022/11/26 16:22","F R","Lactic_acid",0.150882758,0.059804422810338,-4.06360400751535,"Organic acids"
"79","MD",-5,"2/2","R",1,"2022/10/12 07:18","2/2 R","Lactic_acid",0.713589338,0.282840790083524,-1.82193790045562,"Organic acids"
"80","MD",-5,"2/2","R",2,"2022/10/14 00:06","2/2 R","Lactic_acid",0.460756335,0.182627008122968,-2.45302795824124,"Organic acids"
"81","MD",-5,"2/2","R",3,"2022/10/20 06:49","2/2 R","Lactic_acid",0.950753873,0.37684416273368,-1.40796004919513,"Organic acids"
"82","MD",-5,"2/2","R",4,"2022/10/21 17:43","2/2 R","Lactic_acid",0.519847668,0.206048657554631,-2.27894303066514,"Organic acids"
"83","MD",-5,"2/2","R",5,"2022/10/26 15:15","2/2 R","Lactic_acid",0.56521641,0.224031172355567,-2.15822860781045,"Organic acids"
"84","MD",-5,"2/2","R",6,"2022/11/26 13:03","2/2 R","Lactic_acid",0.296141594,0.117379728035615,-3.09074482432541,"Organic acids"
"85","MD",-5,"2/2","R",7,"2022/11/18 18:09","2/2 R","Lactic_acid",0.172981575,0.0685635879594552,-3.8664135815514,"Organic acids"
"86","MD",-5,"2/2","R",8,"2022/11/26 00:36","2/2 R","Lactic_acid",0.421494558,0.167065071536461,-2.58151795567394,"Organic acids"
"87","MD",-5,"F","D",1,"2022/10/12 08:08","F D","Lactic_acid",0.225747305,0.0894779990468781,-3.48232319530688,"Organic acids"
"88","MD",-5,"F","D",2,"2022/10/14 00:56","F D","Lactic_acid",0.454672232,0.180215491571596,-2.47220506235474,"Organic acids"
"89","MD",-5,"F","D",3,"2022/10/20 07:39","F D","Lactic_acid",1.110213453,0.440048125001383,-1.18426678499157,"Organic acids"
"90","MD",-5,"F","D",4,"2022/10/21 18:33","F D","Lactic_acid",0.803863206,0.318622059210356,-1.65008194223726,"Organic acids"
"91","MD",-5,"F","D",5,"2022/10/26 16:05","F D","Lactic_acid",1.331884344,0.527910382199176,-0.921635055702127,"Organic acids"
"92","MD",-5,"F","D",6,"2022/11/17 08:54","F D","Lactic_acid",0.293899999,0.116491241525118,-3.10170660595873,"Organic acids"
"93","MD",-5,"F","D",7,"2022/11/18 18:58","F D","Lactic_acid",1.054737953,0.418059659907081,-1.25821925566652,"Organic acids"
"94","MD",-5,"F","D",8,"2022/11/23 09:07","F D","Lactic_acid",0.265811264,0.105357891323848,-3.24662971858303,"Organic acids"
"95","MD",-5,"F","R",1,"2022/10/12 08:58","F R","Lactic_acid",0.740763715,0.293611722118817,-1.76801852757444,"Organic acids"
"96","MD",-5,"F","R",2,"2022/10/14 01:46","F R","Lactic_acid",0.260978349,0.103442300066784,-3.27310183556574,"Organic acids"
